Constituent,Julian_day,Seg_50 ,Seg_51 ,Seg_52 ,Seg_77 ,Seg_78 ,Seg_79 ,Seg_72 ,Seg_107,
Temperature,     1.000,       9.000,       9.000,       9.000,       9.000,       9.000,       9.000,       9.000,       9.000,
Temperature,     1.042,       8.987,       8.989,       8.990,       8.995,       8.994,       8.993,       8.994,       8.995,
Temperature,     1.084,       8.975,       8.978,       8.980,       8.990,       8.989,       8.986,       8.989,       8.991,
Temperature,     1.125,       8.964,       8.968,       8.970,       8.985,       8.984,       8.980,       8.984,       8.987,
Temperature,     1.167,       8.954,       8.958,       8.961,       8.981,       8.979,       8.974,       8.979,       8.983,
Temperature,     1.209,       8.944,       8.949,       8.951,       8.976,       8.974,       8.968,       8.974,       8.979,
Temperature,     1.250,       8.934,       8.939,       8.942,       8.972,       8.969,       8.962,       8.970,       8.974,
Temperature,     1.292,       8.924,       8.930,       8.933,       8.968,       8.965,       8.956,       8.965,       8.970,
Temperature,     1.334,       8.915,       8.921,       8.924,       8.964,       8.961,       8.950,       8.960,       8.967,
Temperature,     1.375,       8.909,       8.914,       8.917,       8.961,       8.957,       8.946,       8.957,       8.964,
Temperature,     1.417,       8.911,       8.915,       8.917,       8.961,       8.958,       8.947,       8.958,       8.964,
Temperature,     1.459,       8.923,       8.924,       8.925,       8.966,       8.964,       8.953,       8.962,       8.967,
Temperature,     1.500,       8.937,       8.936,       8.937,       8.971,       8.974,       8.963,       8.969,       8.972,
Temperature,     1.542,       8.950,       8.939,       8.942,       8.976,       8.989,       8.973,       8.977,       8.974,
Temperature,     1.584,       8.961,       8.936,       8.940,       8.979,       9.009,       8.980,       8.982,       8.974,
Temperature,     1.625,       8.962,       8.931,       8.937,       8.982,       9.024,       8.984,       8.983,       8.971,
Temperature,     1.667,       8.953,       8.925,       8.934,       8.985,       9.032,       8.984,       8.982,       8.967,
Temperature,     1.709,       8.937,       8.923,       8.934,       8.986,       9.032,       8.981,       8.979,       8.963,
Temperature,     1.750,       8.926,       8.919,       8.935,       8.985,       9.024,       8.976,       8.976,       8.960,
Temperature,     1.792,       8.915,       8.914,       8.934,       8.982,       9.013,       8.969,       8.972,       8.955,
