 Branch:,           3 , # of structures:,           3 , outlet temperatures
      JDAY,      T(C),      T(C),      T(C),   Q(m3/s),   Q(m3/s),   Q(m3/s),    ELEVCL,    ELEVCL,    ELEVCL,
    1.0000,      0.00,      0.00,      0.00,      6.86,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.0420,      8.99,    -99.00,    -99.00,      6.87,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.0835,      8.99,    -99.00,    -99.00,      6.86,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.1257,      8.99,    -99.00,    -99.00,      6.88,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.1670,      8.98,    -99.00,    -99.00,      6.87,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.2085,      8.98,    -99.00,    -99.00,      6.86,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.2507,      8.97,    -99.00,    -99.00,      6.87,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.2920,      8.97,    -99.00,    -99.00,      6.86,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.3337,      8.96,    -99.00,    -99.00,      6.87,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.3757,      8.96,    -99.00,    -99.00,      6.85,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.4170,      8.96,    -99.00,    -99.00,      6.87,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.4587,      8.96,    -99.00,    -99.00,      6.86,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.5007,      8.96,    -99.00,    -99.00,      6.87,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.5427,      8.96,    -99.00,    -99.00,      6.86,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.5839,      8.96,    -99.00,    -99.00,      6.87,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.6257,      8.96,    -99.00,    -99.00,      6.86,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.6677,      8.96,    -99.00,    -99.00,      6.86,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.7089,      8.96,    -99.00,    -99.00,      6.87,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.7507,      8.96,    -99.00,    -99.00,      6.86,      0.00,      0.00,    301.90,    340.05,    368.81,
